Project Number;Project SDGs;Project Name;Source;Status;Type of Partnership;Type of project;SDG scope;Description;Start Date;End Date;Partners;Info Link;Project Link
1;3,4,5,6,8,9,11,13,16,17;Destination 2030;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"2030 — the United Nations deadline for Sustainable Development Goals — is no longer a distant target. And no singleorganization will end the global water crisis on its own.Solving for SDG 6 (water and sanitation for  all) requires urgent, innovative, collective action and a new way of doing things. Founded in 2021, One For All is a global alliance working across 15 countries.We can go faster and further, together.Destination 2030, or D30, is Water For People, Water For Good, IRC’s joint vision to accelerate progress in reaching this milestone. We believe that billions of lives can and must be transformed with sustainable access to water and sanitation. SDG 6 demands that every country has systems that raise the standard of service delivery, while also relentlessly seeking solutions for the unserved.Destination 2030 identifies three impact pathways to achieve SDG 6 (collectively known as ""D30 Goals""):1. Local – increasing local water, sanitation, and hygiene systems to improve services for more than 20 million people in districts;2. National – strengthening national water, sanitation, and hygiene systems to improve services for more than 200 million people;3. Global – challenging the status quo, to influence leaders and support people and organizations to find ways to deeply influence and contribute to transformational change in how WASH services are provided to two billion people globally.Destination 2030 has identified six desired outcomes to achieve both the Human Right to Water and Sanitation and our Impact Targets:1. High level political will for universal and sustainable access to water and sanitation services drives accelerated progress toward SDG 6.2. Key actors have the capacity to improve planning, service provision, and regulation.3. Secure finance for the sector achieves SDG 6 and increases the value of public and private investments in resilient water, sanitation, and hygiene.4. Citizens demand higher levels of service, more can pay their rates, and there are subsidies for those who cannot pay.5. Collective action drives transformative change through stronger and more effective partnerships within and beyond the water, sanitation, and hygiene sector.6. Organizational change supports Destination 2030. Our approaches using research, innovation, data, technical know-how, advocacy, influence, and co-investment of rate payers and government all help strengthen the WASH systems in which we work and seek to improve.The intermediate outcomes lead to greater impact through people reached with improved services at the local, national, and global levels – our 2030 long term outcomes. This is all done with an unwavering focus on SDG 6 that is closing the gap for the 2+ billion people in the world that still live without sustainable water and sanitation services.";01 January 2020;01 January 2030;Water For Good, Water For People, IRC;https://www.waterforpeople.org/impactreport/;https://sdgs.un.org/partnerships/destination-2030
21;7,5,6,9,11,13,16;The European Water Sector driving the SDGs;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Governance plays an important role in how stakeholders are involved and interact in achieving the SDGs. Across Europe, the cooperation between stakeholders and municipalities is enhanced. The sector search for good management at all levels. Responsibilities, reporting structures, investments, recovering costs and financing are being clearly defined. Infrastructure, investment and financing: The water sector offers services to all. A substantial part of its activities is already sustainable and in line with the SDGs. However, more investment is needed across the continent if we want to fully achieve these goals 100%. The cost recovery principle must be fully implemented (mainly through tariffs) and must take long term investment needs into account. The other two elements of the 3 T’s - taxes and transfers - can provide further financing. Ensuring fair access to water services for all, including future generations, should guide all water policy, including long term investments. This requires a fair price to be paid by water consumers for the services provided. In addition, stakeholders whose activities can have a negative impact on water resources and drive the investment costs of water operators should also contribute financially, according to the Polluter Pays Principle and user-pays principle. Innovation has always been and will always be a core activity of water service providers: The SDGs can drive innovative policies towards offering access to drinking water and sanitation to all. Clearly, new solutions to providing services, especially for those people living in remote and rural areas, and difficult-to-reach groups, is key for delivering mainly SDG 1.;01 January 2018;31 December 2028;EurEau is the voice of Europe’s water sector, representing 36 national drinking and waste water services from both the public and private sectors in 31 countries across Europe.;www.eureau.org;https://sdgs.un.org/partnerships/european-water-sector-driving-sdgs
23;1,2,4,5,6,8,10;Training courses of excellence for water and sanitation professionals;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;The AgroParisTech Chair “SUEZ – General Management of Urban Water and Sanitation Services” is in line with the Sustainable Development Objectives set by the United Nations. It aims to contribute mainly to Goal 6 “Access to safe water and sanitation”, by increasing the skills of urban water and sanitation managers, through training, knowledge sharing and contribution to research in the field. The training courses that it creates and offers are designed to respond to the specific problems of major urban water and sanitation services, particularly in the situation of emerging and developing countries. To train professionals, leaders and decision-makers of urban services in rapidly growing environments, in constant interaction with institutions, which must adapt over a horizon of 5 to 10 years at the level of large cities, regions and states The Chair is dedicated to professionals playing a key role in driving reform and change in the water and sanitation sector The first vocation of the Chair is the training of those in charge of urban water and sanitation services in emerging and developing countries. It is aimed at senior executives and general management teams, senior and high-potential executives, operational or functional managers in management positions.;21 February 2024;21 February 2028;Agopparitech University, AFD - French Agence Development SUEZ Fondation Nairobi University UCAD University Dakar Sénégal PPWSA Chongqing Sanfeng Science and Technology Company Holding Company for Water and Wastewater National water and electricity Company Ghanan Water Company LTD Nairobi City Water and Sewerage Company Ltd PDAM Surabaya (Surabaya water Service) National Water Commission (NWC) LAGOS STATE WATER Corporation Water and Sanitation Agency (WASA) Water and Sanitation Agency Lahore Water and Sanitation Agency Faisalabad GUMA Valley Water Company (Freetown) Ministry of Water Resources and Irrigation (MWRI) South Sudan Urban Water Corporation National Water Supply and Drainage board MASWA District council Ministry of Water Resources and Irrigation (MWRI) NWSC Kampala Capital City Authority MULONGA WATER & SEWERAGE COMPANY LIMITED Kafubu Water and Sewerage Company Western Water and Sewerage Company Ltd Lusaka Water and Sewerage company Kafubu Water and Sewerage Company Limited North Western Water Supply&Sewerage Company Ltd Lome University Lahore University;https://waterforall.utilities.management/our-mission/;https://sdgs.un.org/partnerships/training-courses-excellence-water-and-sanitation-professionals
67;1,2,3,4,5,6,7,8;SDGs Leadership Resource Center;UN DESA SDG Actions Platform;Checked - In;MSP;INI;4;The Leadership Library was developed to help students enhance their leadership abilities and instill a passion for reading in them to make informed choices that will benefit their interactions and decisions in the future. It will also bridge the reading and learning inequalities that exist in Nigeria between public and private schools. The organization’s mission is to help future leaders recognize, develop, and demonstrate their leadership abilities while providing a platform to amplify their voices. Therefore, we are building a library to provide students, particularly those in public schools, with access to a wide range of knowledge from all areas of life. It will have a beneficial impact on their lives and will assist them in identifying role models for the preservation of excellence and social services.;02 August 2015;24 February 2022;Life Development Center, ChicagoAfrica Role International InitiativeWaohlife Media International Limited;www.dothedreamydi.org;https://sdgs.un.org/partnerships/sdgs-leadership-resource-center
168;4,5,8;Transforming education in Jordan through inclusive, quality and responsive education delivery for all children and youth;UN DESA SDG Actions Platform;Checked - In;MSP;INI;4;On the occasion of the 2023 SDG Summit, the Government of Jordan through this commitment will accelerate efforts to achieve SDG4, and Jordan’s TES commitments. Furthermore, the Government of Jordan, under the leadership of the Ministry of Education aims to enhance the access and retention to quality education, from early childhood until tertiary education, including TVET, for all children and youth in Jordan, more specifically the following priority actions will take place: a. Accelerating efforts for the universalization of KG2 and expanding opportunities for the inclusion of children below age of 6 years into the education system. b. Tackling learning loss by working towards improving the quality of student outcomes and overcoming the adverse effects on education caused by the COVID-19 pandemic, as well as supporting teachers to bridge the educational gaps among their students and raise achievement levels. c. Accelerating improvements to pre- and in-service teacher professional development opportunities. d. Reforming the vocational education streams and TVET programs in public universities and to better respond to labor market needs.;01 September 2022;31 December 2028;Ministry of Planning and International Cooperation, Ministry of Social Development, the Higher Council for the Rights of Persons with Disabilities, Vocational Training Corporation, Technical & Vocational Skills Development Commission, Policy Planning and Coordination Committee (PPCC) members (including educational development partners and donors and UN agencies) and private sector and civil society stakeholders.;https://moe.gov.jo/ Contact Title:;https://sdgs.un.org/partnerships/transforming-education-jordan-through-inclusive-quality-and-responsive-education
277;1,2,6,11,13;Scaling up people-centered flood and drought Early Warning Systems;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;“Early warnings and action save lives,” UN Secretary-General António Guterres said in 2022 and announced that the World Meteorological Organization (WMO) would “spearhead new action to ensure every person on Earth is protected by early warning systems within five years.” The joint WMO and Global Water Partnership (GWP) programs on flood (APFM) and drought (IDMP) management are part of this major effort to scale up Early Warning Systems (EWS) called “Early Warnings for All” Action Plan. With over 30 years of combined experience in supporting countries in establishing Early Warning Systems (EWS), the programs have developed a well-tested and solid approach that puts people first and understands and implements EWS as a crucial element of overall resilience building.We recognize that despite the establishment of EWS in many countries, the number of victims and overall impacts (both direct and indirect) of floods and droughts are still very high. Often, in emergency situations, warnings fail due to gaps either on the “last mile” of the warning chain or because the recipients are not prepared to react and respond in a timely and adequate manner. This is especially true for the most vulnerable like refugees, impoverished populations, women, elderly and other marginalized groups, who are often not prioritized when planning and setting up the warning chain.As a contribution to the UN “Early Warnings for All” Action Plan, this APFM and IDMP initiative is supporting countries in improving existing or establishing new people-centric and integrated EWS. It will focus on making sure that the technical systems are integrated into an overall flood and drought management policy framework and that all relevant stakeholders - particularly the most vulnerable - participate and are considered when planning and establishing the warning and response chain. This includes awareness raising and sustained mechanisms to train people on response capacities so that warnings trigger (early) action when flood and droughts are happening.;01 April 2023;31 December 2025;"Over 70 partners from UN, National level, Academia, Private sectorwww.floodmanagement.info/support-base-partners/;www.droughtmanagement.info/about/partners/";"www.floodmanagement.info/; www.droughtmanagement.info/";https://sdgs.un.org/partnerships/scaling-people-centered-flood-and-drought-early-warning-systems
333;5,6;Catalyse progress on menstrual health and hygiene (MHH);UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Menstrual Hygiene Day: making menstruation a normal fact of life by 2030 Today, millions of women and girls* around the world are stigmatised, excluded and discriminated against simply because they menstruate. It’s not acceptable that because of a natural bodily function women and girls continue to be prevented from getting an education, earning an income and fully and equally participating in everyday life. Around Menstrual Hygiene Day on 28 May and all year round, our movement of now close to 1,000 partner organisations campaigns, activates and educates at all levels - from local communities to the UN level - to change that.;23 March 2023;31 December 2030;Menstrual Hygiene Day has close to 1,000 partner organisations, ranging from hundreds of local grassroots organisations to international NGOs, governments, UN agencies and private sector partners;www.wash-united.org;https://sdgs.un.org/partnerships/catalyse-progress-menstrual-health-and-hygiene-mhh
336;2,6,13,17;Promoting cross-sectoral collaboration to accelerate the use of deep, on-and offshore fresh water sources in water-scarce communities.;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;In 2020, the UN placed emphasis on the importance of exploring deep, onshore, and offshore freshwater among other unconventional water resources, to develop resilience of water-scarce communities to tackle climate change. Researchers estimate that the volume of untapped on-and offshore fresh groundwater is one hundred times greater than the amount extracted from the Earth's subsurface in the 20th century. Recent studies show that deep on-and offshore groundwater might be the most cost-effective and sustainable solution to water scarcity in many costal countries where these aquifers are connected to the surface and replenish continuously. To make unconventional sources of water accessible, innovative solutions from all angles need to be considered. Drawing on the successful case study of deep groundwater in Somalia, Ruden AS as a member of the European Cooperation in Science and Technology Action CA21112 - OFF-SOURCE, commits to promoting inter-sectoral collaboration between the private sector (oil industry and water industry), academia, and research on a global scale, and to assist the inter-ministerial dialogue through water-and-science diplomacy, laying water and science at the center of the discussion.;01 September 2022;30 January 2027;"Government of Somalia: Ministry of Energy and Water Resources of Somalia (Leading and implementing ministry); Ministry of Petroleum and Mineral Resources of Somalia (supporting role); Ministry of Agriculture and Irrigation of Somalia (supporting role). Government of Kenya: Ministry of Water, Sanitation, and Irrigation. Government of Zanzibar: Ministry of Water, Energy, and Minerals of Zanzibar. Government of Norway: Norwegian Ministry of Foreign Affairs (funding/donor for Somalia deep groundwater identification); The Royal Norwegian Embassy in Nairobi. Private sector: Ruden AS (specialized in water – know how), SLB (oil and gas services company – supporting role - software), National Oil Corporation of Kenya (supporting role for Kenya deep groundwater identification – access to data). Research and Academia (COST Action CA21112 - OFF-SOURCE) 111 researches from 33 countries representing: University of Stavanger; Ruden AS; Stockholm University; University of Oxford; University of Derby; RGC Ldt Uk; National Oceanography Centre, Southampton; University of Latvia; Maria Curie Sklodowska University; Gdynia Maritime University; Czech Geological Survey; Helmholtz-Centre for Environmental Research – UFZ; GEOMAR - Helmholtz Centre for Ocean Research, Kiel; BGR-Federal; IHE Delft Institute for Water Education; Nectaerra; COST (European Cooperation in Science and Technology); Institute of Oceanology - BAS, Varna; Ghent University - Faculty of Science; MAPPEM Geophysics; Géosciences Montpellier, University of Montpellier; IUEM, Plouzaé; OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale; University of Bologna; University of Roma Tre; National Institute of Oceanography and Applied Geophysics – OGS; Università di Cagliari; Istituto nazionale di geofisica e vulcanologia (INGV); National Institute of Oceanography and Applied Geophysics – OGS; National Research Council of Italy; Catalan Agency of Water; Geociencias y Exploraciones Marítimas; Instituto Geológico y Minero de España; Instituto Andaluz de Ciencias de la Tierra; Gemigeo; University of Almeria; Geological Survey of Spain; Institute of Marine Sciences, CSIC; Instituto Português do Mar e da Atmosfera, I.P. (IPMA); Croatian Water; Hrvatski geolo_ki institut - Croatian geological survey; Croatian Geological Survey; Faculty of Science; University of Banja Luka; Agency for Environmental Consulting ""Akvatorija""; Institute of Technical Sciences of the Serbian Academy of Sciences and Arts; The Academy of Technical Applied Studies, Belgrade; Transfer Center of Agriculture Technology, Fushe Kruje; Albanian University; Aleksander Moisiu University; Albanian Geologists Association; Hellenic Centre for Marine Research; Soil and Water Resources Institute; Indigo-Med; University Cyril and Methodious; Yildiz Technical University; Artvin Coruh University; Middle East Technical University; Abdullah Gül University; Osmaniye Korkut Ata University; Giresun University; Osmaniye Korkut Ata University; University of Sfax; Lebanese Center for Water and Environment (LCWE); Lebanese University; University of Haifa; Technion - Israel Institute of Technology; Ferdowsi University of Mashhad; Ocean University of China; Jawaharlal Nehru University (JNU); University of Canterbury; Ocean Floor Geophysics; Scripps Institution of Oceanography; A Ripple Effect pllc; University of KwaZulu-Natal.";https://rudenas.com/ruden-water;https://sdgs.un.org/partnerships/promoting-cross-sectoral-collaboration-accelerate-use-deep-and-offshore-fresh-water
347;6;By 2030, 10,000 Youth and women farmers will become micro entrepreneurs and conserves 60,000,000 liters of water per annum which will be benefitted to 1M farmers!;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Capacity development of women and youth as climate leaders and micro-entrepreneurs in the field of climate adaptive technologies like Bhungroo, is an important step in addressing the impacts of climate change. By training and empowering women and youth in the use and implementation of these technologies, they can become leaders in their communities and promote the adoption of sustainable practices. Bhungroo is a low -cost and easy -to-install rainwater harvesting technology that helps to recharge groundwater and improve crop yields. By training women and youth in the installation and maintenances of Bhungroo, they can become micro-entrepreneurs, offering these services to their communities and earning an income while also helping to mitigate the impacts of climate change. Capacity development programs can include training in technical skills, such as installation and maintenance of Bhungroo, as well as in business and entrepreneurship, such as marketing and financial management. Additionally, providing access to resources such as credit and networking opportunities can also support their success as micro-entrepreneurs. Bhungroo (straw or hollow pipe) filters, injects and stores storm water subsoil. It has 17 technical designs for a variety of agro-climatic zones and can be customized based on 27 variables. It works in environments where annual rainfall ranges from 400 to 2,100 millimeters, in salt affected and seasonally eroded soil. Using only one square meter surface area, each Bhungroo augments 1 to 4 Mlts of water/year and allows farmers to retrieve stored water. Multiple Bhungroos with a serial injection model can be used in flooded areas to capture and store excess water. The Climate Leaders (CL) program trains women and youth smallholder farmers to provide fee-based services to other smallholder farmers in their village. CLs undertake Bhungroo feasibility and preliminary geo-hydro studies, supervision of Bhungroo erection and distribution of irrigation water. CLs are paid by farmers for providing these services. Additionally, poor women smallholder farmers who own a Bhungroo earn income from the sale of crops and from helping other smallholders in their village gain access to water. Without a Bhungroo or CL advice, farmers are at risk of harvesting one or no crops per year. Bhungroo and CL services, enable farmers to harvest two crops a year and access threefold increase in income, increases in soil productivity, reduction in salt deposition of topsoil, and reclaimed land from desertification. In addition to economic and environmental benefits, women smallholder farmers have reported increases in land ownership and social status. With a 30-year life-span, each Bhungroo frees 5-10 acres from waterlogging in each monsoon and irrigates 22+ acres each winter. 1 to 4 million liters of runoff are conserved by each Bhungroo. It ensures food-security to 30-100 rural poor. Each unit generates income of approximately USD $5700+ per year and family-income rises from $189 to $710 in last 5 years. Overall, capacity development programs for women and youth in climate adaptive technologies like Bhungroo can help to promote sustainable practices and build resilience to the impacts of climate change, while also providing income-generating opportunities for women and youth.;01 January 2023;31 January 2030;The details of present partners and offer of partnerships are as follows: Asia: Bangladesh- Already partners with CRS and six NGOs, 4 partnership offers (cutting across Non profit, MFI and private enterprises) Vietnam - Oxfam and one private entrepreneur namely ADASTRA Indonesia- discussion started with department of science and technology of Indonesian government for training Malaysia- ADASTRA (a private enterprise - it is HQ ed in Kuala Lumpur) - they are discussing partnership offers in Malaysia, Indonesia, Thailand, Philippines, Pakistan- one private enterprise jointly own by Shahid and Shahnawaz. online training has started Africa Kenya- government promoted autonomous body ACTS. we have jointly submitted proposal to government. we have also trained government staff members NIGERIA- 1 non profit and one government organization namely Niger River Development Authority. we are submitting joint proposal Uganda- Women Feed Africa run by Moses and Israeli agri company Namibia- Ebikes (one German for profit company for solar pumping agency)- we all are now part of women feed Africa movement cutting across all desert areas of Africa, managed from Namibia Small Island nations Antigua (by former Prime Minister of Antigua) - he is keen to have our support for minimization of loss during sudden rain and scarcity of water during summer;https://www.sgifgoon.org;https://sdgs.un.org/partnerships/2030-10000-youth-and-women-farmers-will-become-micro-entrepreneurs-and-conserves
352;3,6,10,11,12,15,17;Restructuring Water Consumption through systemic behavioural change;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"Creating awareness through engaging activities for general public; Nominating individuals as Jal Mitra (friends of Water) and making them responsible for wise usage of water; Creating a chain of Jal Mitras, through nomination to include maximum people and hence giving it a shape of a mass movement; Charting issues and solutions related to water through multi stakeholder consultations; Persuasive messages through social media to promote adoption and maintenance of sustainable household water consumption; As a pilot, we will engage district authorities for water sensitive activities and consultations so that it can be percolated down to general public as well; After successful consultation and awareness boot camps at selected districts; water related infrastructure can be made more robust which will eventually trickle down to public welfare; Engaging people in entertaining campaigns illustrating the most effective ways to conserve water such as drama plays and skits; Encouraging more considerate selection of water conservation techniques through information sharing; Sharing details of water consumption of neighboring households to encourage people towards more reasonable consumption of water; Making Jal Mitra’s responsible and accountable for large number of public involvement in water conservation campaign; Awareness be generated among people so they come together at the community level to develop innovative and affordable solutions; giving equal importance to their traditional wise.";01 February 2023;30 April 2024;Central Government Ministries, Private sector, Academia, Media, UN Organizations;https://www.indiawaterfoundation.org/;https://sdgs.un.org/partnerships/restructuring-water-consumption-through-systemic-behavioural-change
