Project Name,Status,VDSI,sim_score,partner_count,sdg_count,Project SDGs
Financial support for Capacity Building and sustainable resource management / Access to safe water and sanitation  for all,Checked - Out,1.0,1.0,4,12,"1,2,4,5,6,7,8,10,11,13,16,17"
World VisionÕs Pledge to Accelerate Progress for SDG 6,Checked - Out,0.9929707304737547,0.9929707304737547,6,6,"1,3,4,5,6,17"
Localizing SDG 6- Transforming Access to Water by Strengthened Capacity of Operators Closest to Water Provision,Checked - Out,0.9914151334810233,0.9914151334810233,1,4,"5,6,11,17"
Ensure availability of adequate and good quality water for domestic use and for productive purposes through transformational initiatives with a focus on marginalized groups so that no one is left behind,Checked - Out,0.983687651595901,0.983687651595901,1,6,"2,6,8,9,11,12"
"Accelerating Change Through Investments, Technical Assistance and Cooperation Beyond Borders",Checked - Out,0.9834322899314597,0.9834322899314597,1,1,6
Innovation in Water Governance Ð Breaking boundaries for water and climate,Checked - Out,0.9814228950451883,0.9814228950451883,13,7,"5,6,7,13,14,15,17"
Water for Sustainable Development: innovative Solutions to the water crisis in Africa,Checked - Out,0.9803940042920319,0.9803940042920319,1,1,6
"Private Water Operators, federated in AquaFed, will advance the implementation of the human rights to safe drinking water and safely managed sanitation in all its dimensions through two specific programmes",Checked - Out,0.9766620311360238,0.9766620311360238,1,7,"5,6,8,9,11,13,17"
Mozambique commitments for the UN 2023 Water Conference towards the Water Action Agenda,Checked - Out,0.9732716835733994,0.9732716835733994,9,1,6
Livelihoods and Environmental Actions for Development (LEAD),Checked - Out,0.9721922167603809,0.9721922167603809,1,11,"1,2,5,6,7,8,9,10,12,13,16"
Reach 100 million people with safe water and sanitation through the Water and Climate Initiative,Checked - Out,0.9690746733994375,0.9690746733994375,1,1,6
SDG 6 Capacity Development Initiative,Checked - Out,0.9664285894132558,0.9664285894132558,4,1,6
Supporting national water leaders to strengthen climate resilience,Checked - Out,0.9664161825876042,0.9664161825876042,2,10,"1,3,5,6,10,11,13,14,15,17"
Water and Development Partnership Programme,Checked - Out,0.9655380712567787,0.9655380712567787,7,3,"4,5,6"
UN-Water SDG 6 Capacity Development Initiative,Checked - Out,0.9648221974166801,0.9648221974166801,35,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
NOW FOUNDATION WATER AND AGRICULTURAL SUSTAINABILITY INITIATIVE,Checked - Out,0.9612051698512678,0.9612051698512678,4,2,"2,6"
TAKING NEXT STEPS FOR A WATER AND CLIMATE RESILIENT WORLD THROUGH CAPACITY DEVELOPMENT OF PEOPLE AND ORGANIZATIONS,Checked - Out,0.9600222884973766,0.9600222884973766,6,1,6
Cooperation Fund for Water and Sanitation  (Fondo de Cooperacin para Agua y Saneamiento),Checked - Out,0.9582421279603508,0.9582421279603508,1,11,"1,3,4,5,6,8,11,13,14,16,17"
"Sanitation and Judicious use of water campaign, rain harvesting,  Resilience and Ecosystems Restoration Awareness Campaign, Resource Management  Irrigation & Drainage Systems,  etc",Checked - Out,0.9565781536964861,0.9565781536964861,27,10,"2,3,4,5,6,9,12,13,15,16"
"international conference in the region about cooperation to prevent or reduce water pollution, capacity building and public awarness mainly ( Youth and Women)",Checked - Out,0.9563767252329656,0.9563767252329656,1,4,"6,13,16,17"
