Project Name,Status,VDSI,sim_score,partner_count,sdg_count,Project SDGs
"We are the Wrestling League of the State of Rio de Janeiro - LWERJ, a non-governmental organization that promotes human development and social inclusion through sport, our project consists of teaching wrestling for children and adults.",Checked - In,-0.7189732840903991,0.281026715909601,3,7,"4,8,10,11,5,16,3"
ProFuturo Digital Education Programme,Checked - In,-0.6859511492187167,0.31404885078128336,1,1,4
Social Shifters in Higher Education,Checked - In,-0.6718842355589111,0.3281157644410889,1,3,"4,8,17"
The Kalsom Movement,Checked - In,-0.5859529919972326,0.41404700800276745,32,2,"4,17"
"#AlleanzaAgisce, ASviS mobilises in response to the covid-19 crisis",Checked - In,-0.57166456176355,0.42833543823645004,1,11,"1,2,3,4,5,8,9,10,11,13,17"
Foster youth entrepreneurship and prepare for the future of work: Enroll 1 million users in free HP LIFE e-learning program by 2025,Checked - In,-0.5691936329630383,0.4308063670369618,1,2,"4,8"
Technical Platform on the Measurement and Reduction of Food Loss and Waste in support of SDG 12.3,Checked - In,-0.564677256500538,0.435322743499462,1,6,"2,8,12,13,14,15"
World Anti-Doping Agency (WADA),Checked - In,-0.561828576349598,0.43817142365040196,17,2,"3,16"
Medicines for Malaria Venture,Checked - In,-0.5587472317270264,0.44125276827297355,1,6,"9,4,5,17,1,3"
Radio Pollikontho (RPK) as a Community Radio Station (CRS) connect local community people with local duty bearers to localize Sustainable Development Goals (SDGs),Checked - In,-0.5373987703376153,0.46260122966238476,1,12,"1,2,3,4,5,6,8,10,12,13,15,16"
Project PIXAN: Increasing access to quality education in public schools in Mexico for children with multiple disabilities,Checked - In,-0.5296339220128834,0.4703660779871166,3,2,"4,17"
"UCSI's ""Leave No One Behind"" Education project",Checked - In,-0.5194010641407343,0.4805989358592658,1,5,"4,2,1,12,13"
Rebuilding Education in Haiti,Checked - In,-0.5193432629294632,0.48065673707053685,1,1,4
Assessing facility performance to improve health service delivery towards Universal Health Coverage in Bangladesh,Checked - In,-0.5188824223378328,0.4811175776621673,2,1,3
The Fleming Fund,Checked - In,-0.5164219298671338,0.4835780701328662,12,1,3
The Great Bubble Barrier,Checked - In,-0.5067573411004926,0.4932426588995073,2,2,"6,14"
YouthSpark: Digital Skills and Computer Science,Checked - In,-0.5047993250686845,0.4952006749313155,1,4,"4,8,5,16"
Clatural Academy for Sustainable Art (CASA),Checked - In,-0.49602766284232347,0.5039723371576765,5,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Alliance for Responsible Science (OEAD) Austria,Checked - In,-0.48670364143981937,0.5132963585601806,54,1,4
International Federation on Ageing (IFA),Checked - In,-0.4860684119664562,0.5139315880335438,1,2,"3,10"
