Project Name,Status,VDSI,sim_score,partner_count,sdg_count,Project SDGs
Sanitation and Water for All (SWA),Checked - In,0.0,1.0,6,1,6
National Water Roadmaps towards the 2030 Agenda,Checked - In,-0.0038410072590876476,0.9961589927409124,7,5,"1,2,6,13,15"
Support water governance and improve climate resilience in Central Africa,Checked - In,-0.012022360019077194,0.9879776399809228,8,5,"5,6,13,15,17"
Accelerating Collective Action for SDG 6: Global Water ChallengeÕs Commitment to WASH Access for All,Checked - In,-0.025526240983613002,0.974473759016387,1,7,"3,4,5,6,8,13,17"
Water and Climate Coalition,Checked - In,-0.03152815236457662,0.9684718476354234,12,1,6
UNICEFÕs Game Plan to Accelerate Safely Managed Sanitation for All,Checked - In,-0.03704050500159273,0.9629594949984073,26,1,6
"SIWI commits to support collective action on the Water Action Agenda, good governance, Water for Climate, Source-to-Sea and cooperation",Checked - In,-0.04569492272554598,0.954305077274454,147,5,"6,13,14,15,17"
Destination 2030,Checked - In,-0.04974275906637893,0.9502572409336211,3,10,"3,4,5,6,8,9,11,13,16,17"
2030 Water Resources Group (2030WRG),Checked - In,-0.0505173828750044,0.9494826171249956,14,1,6
World Water Quality Alliance,Checked - In,-0.05139680786972234,0.9486031921302777,9,1,6
StepByWater,Checked - In,-0.06236276317522771,0.9376372368247723,24,3,"6,11,17"
Global Access to Clean Drinking Water and Sustainable Food Solutions,Checked - In,-0.06426356184638371,0.9357364381536163,8,5,"2,6,11,13,17"
Rethinking Collective Action and Investment Planning for a Water Secure World,Checked - In,-0.06945545347495108,0.9305445465250489,13,1,6
Strengthening private sector participation in the SDG6 IWRM agenda as a tangible resource base,Checked - In,-0.08787214547222011,0.9121278545277799,6,3,"6,13,15"
Commitments of the PCJ Consortium towards Sustainable Water Management,Checked - In,-0.08926112609458292,0.9107388739054171,63,3,"6,13,15"
