Project Name,Status,VDSI,sim_score,partner_count,sdg_count,Project SDGs
Thriving and Resilient Rivers for Future Generations - Addressing the Global Water Challenges.,Checked - In,-0.1023620041694231,0.8976379958305769,1,2,"6,17"
Accelerating Access to Safe Water in Decentralized Communities,Checked - In,-0.11453207839508217,0.8854679216049178,5,6,"3,6,9,12,13,17"
Blue Deal: Doubling annual financial commitment and increasing capacity in supporting water managers in 17 partnerships around the globe.,Checked - In,-0.11526700036162241,0.8847329996383776,4,3,"6,13,17"
Improving Sustainable Access to Clean Water for Communities Impacted by Climate Change,Checked - In,-0.1218143012019659,0.8781856987980341,3,3,"1,3,6"
Joined-up Action and Collective Outcomes to Accelerate SDG 6,Checked - In,-0.12266526347901252,0.8773347365209875,1,2,"6,17"
EyeControl,Checked - Out,0.1268892584987668,0.1268892584987668,1,1,3
The UN Sustainable Development Solutions Network,Checked - In,-0.12937290429557136,0.8706270957044286,53,1,4
"Developing water solutions within a Climate Changing World is not only urgent, it is paramount.",Checked - In,-0.13241469303871245,0.8675853069612876,1,4,"5,6,13,14"
"Implementation approaches of the Water for Women Fund Extension to scale up, out and deep",Checked - In,-0.13254985445698775,0.8674501455430123,9,6,"3,5,6,10,13,17"
Vision 2030: Water Wellbeing for All,Checked - In,-0.13344095646408383,0.8665590435359162,1,1,6
Martin-Luther-Universitt Halle-Wittenberg,Checked - Out,0.13843951143380212,0.13843951143380212,1,1,4
"The ""4 per 1000"" Initiative and its implementation",Checked - In,-0.13870393190550223,0.8612960680944978,6,6,"2,6,12,13,15,17"
Contigo en la Primera Infancia,Checked - Out,0.143007321486761,0.143007321486761,2,5,"1,2,3,4,17"
Sustainable Sanitation and Water Alliance (SuSanA),Checked - In,-0.1437203034417628,0.8562796965582372,1,1,6
Build a Water-Smart Society in Europe,Checked - In,-0.14544441431937416,0.8545555856806258,14,15,"1,2,3,6,7,8,9,10,11,12,13,14,15,16,17"
Valuing Water Finance Initiative Signatories,Checked - In,-0.1495877832177247,0.8504122167822753,86,1,6
"Credible, verified private sector action on SDG6.",Checked - In,-0.1515307650960962,0.8484692349039038,6,2,"6,12"
"United Nations World Food Programme&#39;s R4 Rural Resilience Initiative - Contributing to SDG 2, 1, 13, 15 and 17",Checked - In,-0.15290711994882544,0.8470928800511746,13,5,"15,2,17,1,13"
Integrated Monitoring Initiative for SDG 6,Checked - In,-0.15359226865010445,0.8464077313498956,8,1,6
SDG Partnership Platform (Kenya),Checked - In,-0.15534600994662495,0.844653990053375,15,1,3
